3.404067266956450754e-06,8.613237514588649988e-08,9.999965098003579245e-01
5.755247015202850192e-05,9.999374846838159359e-01,4.962846031926419366e-06
9.995374304508752861e-01,1.118666119537337628e-05,4.513828879292804044e-04
2.019444118596205894e-04,5.834498123790101183e-06,9.997922210900165307e-01
4.399691902826401645e-05,9.999523544613545534e-01,3.648619617176073166e-06
9.999732631543887251e-01,1.795790957825792477e-06,2.494105465348216979e-05
7.199498938081327600e-04,2.368113787188448112e-05,9.992563689683200412e-01
2.623732980818485144e-05,9.999693528904441964e-01,4.409779747643177548e-06
9.949140446077412436e-01,1.782639332071876703e-04,4.907691459051688639e-03
1.896560916199172562e-03,9.638221035654296601e-07,9.981024752616972640e-01
1.078884512974105537e-07,9.999998154086663371e-01,7.670288256292927316e-08
9.998727578244162029e-01,7.248608247119810752e-05,5.475609311258296740e-05
6.317287528711974527e-06,3.345983191144197125e-06,9.999903367292800604e-01
2.424364606352270168e-06,9.999951129948608797e-01,2.462640532727923603e-06
9.998244007168010095e-01,1.202062821646038911e-05,1.635786549826434241e-04
3.569891795704626866e-05,4.289147320419408661e-04,9.995353863500009428e-01
4.770780188895899385e-07,9.999814537068644205e-01,1.806921511665730173e-05
9.999936485747052961e-01,1.807647699306657672e-06,4.543777595492945810e-06
7.192422370905633645e-04,1.188067378681312769e-03,9.980926903842280984e-01
1.711839703653594964e-06,9.999968987153586841e-01,1.389444937748389021e-06
9.998052305707295639e-01,6.706954881555548189e-06,1.880624743890350426e-04
5.246133946867896636e-03,1.916306438798374750e-06,9.947519497466932314e-01
1.046067922486282469e-05,9.999894499831541994e-01,8.933762086428060299e-08
9.999695567070804314e-01,3.778420362122962149e-06,2.666487255751380229e-05
2.600039874535162976e-05,2.805229436117202995e-06,9.999711943718184726e-01
1.249551072544166065e-05,9.999733230868942391e-01,1.418140238035645521e-05
9.997249261229257389e-01,1.888325152070752515e-07,2.748850445590660671e-04
6.545681721234162533e-05,1.394266916515663481e-06,9.999331489158711506e-01
2.164336240676460431e-05,9.999517281738347085e-01,2.662846375855583924e-05
9.998569274067891088e-01,2.416574004003809543e-06,1.406560192068917361e-04
1.276253522722353854e-06,2.309265031896609844e-07,9.999984928199739942e-01
3.102086373315069924e-06,9.999658459310247771e-01,3.105198260180946625e-05
9.999730904157414502e-01,2.416060287015328417e-06,2.449352397148845173e-05
1.131614015987804448e-04,4.619148159593034294e-06,9.998822194502415828e-01
1.842612570128198364e-05,9.997114079895395022e-01,2.701658847591097254e-04
9.998228906288061379e-01,5.248416188755718426e-07,1.765845295750015831e-04
5.010186478499484633e-03,2.374216027590403660e-03,9.926155974939101512e-01
8.998951289671460336e-06,9.999907435531897315e-01,2.574955204235635080e-07
9.998809152827796698e-01,5.276218009250249939e-06,1.138084992110116725e-04
2.335642084025348552e-04,9.292072801123589155e-06,9.997571437187963150e-01
9.249012271343967401e-06,9.999389509694164291e-01,5.180001831228890592e-05
9.999032681427626468e-01,7.753287262101071054e-06,8.897856997533024005e-05
2.692890841747376854e-04,1.233298434447504517e-05,9.997183779314808838e-01
2.956827379046365005e-06,9.999963562281690699e-01,6.869444518986231118e-07
9.999676699717736650e-01,4.917516193332305118e-06,2.741251203303028190e-05
8.250803557320834207e-07,4.345481571297524035e-06,9.999948294380730518e-01
1.112315388526771321e-05,9.999857656880797308e-01,3.111158034996919645e-06
